"ID","Birth.date","Development.Treatment","Calan.Treatment","Pen..","Initial.BW","Final.BW","DMI","ADG","Gest.Length","Calved.First.21.Days","X1st.Calf.BW","Calving.Ease","Calf.Vigor","Birth.date.1","Sire","SEX","Final.Calf.BW","HCW","REA","YG","BF","Initial BW","Final BW","Gest Length","1st Calf BW","Final Calf BW"
672,"26-Feb","drylot","DDG",3,"1007","1147",22.3,1.44,"270","1","58","1","1","2/19/2018","1616","HFR","1183",745,12.528,3.77,0.811,1007,1147,270,58,1183
675,"16-Mar","range","CON",3,"962","1078",23.09,1.2,"282","1","61","1","1","3/3/2018","1616","STR","1173",739,12.375,4.27,0.974,962,1078,282,61,1173
676,"2-Mar","range","CON",4,"944","1111",24.02,1.72,"277","1","77","1","1","2/26/2018","1104","STR","1259",793,12.011,3.83,0.702,944,1111,277,77,1259
677,NA,"range","CON",1,"981","1174",24.49,1.99,"277","1","68","1","1","2/26/2018","1616","STR","1379",869,14.253,3,0.567,981,1174,277,68,1379
679,"5-Apr","drylot","CON",3,"1067","1213",24.07,1.5,"279","1","68","1","1","2/28/2018","2213","STR","1256",791,14.234,3.91,1.057,1067,1213,279,68,1256
680,"15-Mar","drylot","MET",4,"1064","1227",24.18,1.68,"275","1","62","1","3","2/24/2018","1616","HFR","1137",716,13.999,2.47,0.516,1064,1227,275,62,1137
682,NA,"range","MET",1,"922","1144",22.85,2.29,"280","1","64","1","1","2/28/2018","1616","HFR","1225",772,14.483,2.66,0.583,922,1144,280,64,1225
683,"28-Feb","stalks","MET",1,"957","1155",21.77,2.05,"275","1","64","1","3","2/24/2018","2213","HFR","1137",716,11.456,3.47,0.598,957,1155,275,64,1137
685,"10-Mar","stalks","DDG",1,"991","1166",23.78,1.8,"274","1","69","1","1","2/23/2018","2213","STR","1152",726,12.458,3.46,0.686,991,1166,274,69,1152
694,"7-Mar","stalks","DDG",4,"961","1187",24.95,2.34,"277","1","69","1","1","2/26/2018","1104","HFR","1283",808,13.319,3.48,0.692,961,1187,277,69,1283
695,"12-Mar","range","DDG",2,"957","1143",22.52,1.92,"276","1","71","1","3","2/25/2018","1104","STR","1348",849,12.296,3.66,0.586,957,1143,276,71,1348
699,"15-Mar","drylot","MET",3,"938","1129",21.92,1.97,"280","1","67","1","1","3/1/2018","1616","HFR","1089",686,12.719,2.41,0.4,938,1129,280,67,1089
702,"16-Mar","DLHI","DDG",2,"1047","1242",22.14,2.08,"277","1","83","1","1","2/25/2019","1104","STR","1144",721,10.57,3.66,0.664,1047,1242,277,83,1144
703,"22-Mar","RANGE","DDG",1,"1026","1228",22.26,2.15,"279","1","53","1","1","2/26/2019","2213","STR","1298",818,12.94,4.25,0.9,1026,1228,279,53,1298
707,"3-Mar","DLHI","CON",2,"1078","1190",22.29,1.19,"280","1","68","1","1","2/27/2019","1104","STR","1373",865,13.62,3.85,0.74,1078,1190,280,68,1373
709,"17-Apr","DLLO","CON",4,"1116","1240",22.6,1.32,"273","1","73","1","1","2/21/2019","2213","HFR","1240",781,12.03,3.93,0.772,1116,1240,273,73,1240
710,"14-Mar","RANGE","DDG",3,"979","1178",21.59,2.12,"279","1","71","1","1","2/27/2019","1616","STR","1478",931,12.85,3.86,0.744,979,1178,279,71,1478
711,"22-Feb","DLLO","MET",1,"963","1146",20.81,1.95,"273","1","73","1","1","2/21/2019","1104","HFR","1294",815,13.25,3.67,0.668,963,1146,273,73,1294
723,"14-Mar","DLHI","CON",4,"1003","1167",21.95,1.74,"277","1","65","1","1","2/25/2019","1104","HFR","1346",848,12.91,3.93,0.772,1003,1167,277,65,1346
725,"2-Mar","RANGE","CON",2,"1008","1148",24.3,1.49,"278","1","75","2","1","2/27/2019","1616","STR","1270",800,11.96,3.7,0.68,1008,1148,278,75,1270
726,"20-Mar","DLHI","CON",1,"1009","1095",22.61,0.91,"277","1","70","1","1","2/25/2019","1616","HFR","1292",814,12.61,3.88,0.752,1009,1095,277,70,1292
730,"28-Feb","DLLO","DDG",4,"1010","1213",21.81,2.16,"274","1","68","1","1","2/21/2019","1104","HFR","1502",946,13.41,4.25,0.9,1010,1213,274,68,1502
731,"20-Feb","DLLO","DDG",3,"1016","1212",24.21,2.09,"276","1","67","1","1","2/24/2019","1616","STR","1283",808,12.29,4.17,0.868,1016,1212,276,67,1283
738,NA,"DLHI","DDG",1,"1011","1229",21.67,2.32,"281","1","78","1","1","3/1/2019","1104","STR","1365",860,12.65,3.7,0.68,1011,1229,281,78,1365
747,"8-Mar","RANGE","MET",2,"931","1139",21.82,2.22,"275","1","74","1","1","2/23/2019","1104","STR","1379",869,14.38,3.49,0.596,931,1139,275,74,1379
752,"9-Mar","DLHI","MET",2,"1001","1197",21.43,2.09,"275","1","53","1","1","2/25/2019","1104","STR","1397",880,14.36,3.49,0.596,1001,1197,275,53,1397
753,NA,"DLLO","CON",1,"1043","1223",24.66,1.91,"277","1","63","1","1","2/25/2019","2213","HFR","1173",739,14.01,3.39,0.556,1043,1223,277,63,1173
759,"19-Mar","DLLO","MET",4,"936","1117",19.18,1.93,"279","1","73","1","1","2/27/2019","2213","STR","1240",781,14.23,3.29,0.516,936,1117,279,73,1240
760,"23-Feb","RANGE","MET",4,"932","1126",20.14,2.06,"273","1","71","1","1","2/21/2019","1104","HFR","1171",738,11.55,3.94,0.776,932,1126,273,71,1171
761,"17-Apr","RANGE","CON",3,"930","1108",23.35,1.89,"273","1","68","1","1","2/22/2019","1104","HFR","1413",890,14.34,3.7,0.68,930,1108,273,68,1413
762,"18-Feb","DLLO","DDG",3,"1085","1260",22.16,1.87,"279","1","73","1","1","2/27/2019","1104","STR","1519",957,16.88,3.83,0.732,1085,1260,279,73,1519
763,"26-Mar","RANGE","DDG",2,"960","1141",21.51,1.93,"291","1","57","1","2","3/9/2019","1616","HFR","1230",775,12.56,4.32,0.928,960,1141,291,57,1230
766,"24-Feb","DLHI","DDG",4,"1031","1219",22.69,2,"274","1","64","1","1","2/22/2019","2213","HFR","1262",795,13.53,3.14,0.456,1031,1219,274,64,1262
767,"28-Mar","DLHI","MET",3,"1012","1220",22.02,2.21,"270","1","72","3","1","2/18/2019","2213","STR","1389",875,12.46,3.93,0.772,1012,1220,270,72,1389
770,"1-Mar","DLLO","CON",4,"1109","1238",22.84,1.38,"275","1","83","1","1","2/23/2019","2213","STR","1400",882,15.92,3.13,0.452,1109,1238,275,83,1400
774,"21-Mar","DLHI","CON",3,"1098","1277",25.49,1.9,"279","1","78","1","1","2/27/2019","1104","STR","1373",865,14.88,3.72,0.688,1098,1277,279,78,1373
776,"31-Mar","DLLO","MET",2,"1111","1331",23.37,2.35,"275","1","72","1","1","2/25/2019","1104","STR","1411",889,13.12,4.03,0.812,1111,1331,275,72,1411
777,"30-Mar","DLHI","MET",4,"1209","1468",26.94,2.76,"273","1","64","1","1","2/22/2019","2213","HFR","1195",753,11.45,4.13,0.852,1209,1468,273,64,1195
782,"17-Apr","DLHI","CON",3,"1042","1167",22.39,1.34,"275","1","77","2","3","2/23/2019","1104","HFR","1408",887,12.23,4.04,0.816,1042,1167,275,77,1408
786,"22-Feb","RANGE","DDG",4,"984","1189",23.06,2.18,"274","1","68","1","1","2/24/2019","1104","HFR","1302",820,12.34,3.92,0.768,984,1189,274,68,1302
788,"17-Mar","RANGE","MET",4,"975","1193",22.88,2.32,"279","1","75","1","1","2/26/2019","1104","STR","1370",863,13.47,3.51,0.604,975,1193,279,75,1370
789,"14-Jan","RANGE","MET",1,"1061","1259",22.5,2.11,"277","1","69","1","1","2/25/2019","2213","HFR","1227",773,12.74,3.88,0.752,1061,1259,277,69,1227
790,"5-Mar","DLHI","MET",1,"1077","1297",23.69,2.34,"278","1","65","2","1","2/26/2019","1104","HFR","1316",829,12.85,3.83,0.732,1077,1297,278,65,1316
791,"7-Mar","DLLO","MET",3,"1027","1218",21.26,2.03,"272","1","63","1","1","2/21/2019","1616","HFR","1135",715,11.6,3.38,0.552,1027,1218,272,63,1135
792,"7-Mar","DLLO","CON",2,"955","1071",22.24,1.24,"273","1","62","1","1","2/21/2019","2213","HFR","1110",699,12.13,3.7,0.68,955,1071,273,62,1110
798,"13-Mar","DLLO","DDG",2,"1033","1249",24.66,2.3,"272","1","61","1","1","2/19/2019","1104","HFR","1268",799,10.79,4.06,0.824,1033,1249,272,61,1268
800,"29-Mar","DLLO","MET",4,"1040","1128",23.1214084507042,0.94,"282","1","83","1","2","2/29/2020","4708","STR","1340",844,14.45,2.99,0.614,1040,1128,282,83,1340
804,"7-Mar","DLLO","MET",2,"1046","1144",23.1214084507042,1.04,"272","1","69","1","1","2/29/2020","4705","HFR","1360",857,13.76,3.29,0.621,1046,1144,272,69,1360
805,"10-Mar","DLLO","CON",1,"1017","1171",23.1214084507042,1.64,"271","1","68","1","1","2/18/2020","261","HFR","1352",852,14.54,3.14,0.653,1017,1171,271,68,1352
806,NA,"RANGE","MET",4,"1013","1114",23.1214084507042,1.07,"307","0","77","1","1","3/25/2020","4708","HFR","1187",748,12.84,5.61,1.596,1013,1114,307,77,1187
809,"18-Mar","DLLO","DDG",2,"1115","1180",23.1214084507042,0.7,"279","1","71","1","1","2/27/2020","4708","HFR","1265",797,13.16,3.75,0.793,1115,1180,279,71,1265
810,"5-May","DLHI ","MET",3,"1074","1224",23.1214084507042,1.59,"276","1","75","1","1","2/23/2020","4708","STR","1271",801,12.98,3.57,0.712,1074,1224,276,75,1271
812,"14-Mar","DLLO","CON",2,"1048","1102",23.1214084507042,0.58,"278","1","80","1","1","2/24/2020","4705","STR","1359",856,12.89,3.54,0.611,1048,1102,278,80,1359
813,"24-Apr","DLHI ","DDG",3,"1036","1118",23.1214084507042,0.87,"279","1","77","1","1","2/27/2020","4708","STR","1305",822,12.06,4.37,0.875,1036,1118,279,77,1305
815,"9-Mar","DLLO","DDG",3,"947","1152",23.1214084507042,2.18,"274","1",NA,"1","1","2/20/2020","4705","STR","1294",815,13.72,3.41,0.723,947,1152,274,NA,1294
817,"26-Feb","DLLO","DDG",1,"996","1187",23.1214084507042,2.03,"267","1","68","1","1","2/14/2020","4708","STR","1456",917,13.72,4.25,0.89,996,1187,267,68,1456
820,"13-Apr","DLHI ","MET",4,"1115","1116",23.1214084507042,0.01,"279","1","86","1","1","2/25/2020","4708","STR","1619",1020,15.67,3.86,0.857,1115,1116,279,86,1619
822,"6-Mar","DLHI ","DDG",1,"1078","1123",23.1214084507042,0.47,"268","1","65","1","1","2/15/2020","4705","HFR","1276",804,13.66,2.86,0.512,1078,1123,268,65,1276
823,"12-Mar","DLLO","CON",3,"974","1108",23.1214084507042,1.43,"276","1","67","1","1","2/23/2020","4708","STR","1373",865,13.56,3.43,0.646,974,1108,276,67,1373
826,"2-Mar","RANGE","CON",3,"1088","1099",23.1214084507042,0.11,"280","1","67","1","1","2/27/2020","4708","STR","1483",934,14.52,3.29,0.609,1088,1099,280,67,1483
832,"9-Mar",NA,"MET",2,"1053","1040",23.1214084507042,-0.14,"278","1","68","1","1","2/24/2020","261","STR","1390",876,13.03,4.29,0.87,1053,1040,278,68,1390
836,"26-Feb","DLHI ","DDG",2,"1018","1117",23.1214084507042,1.05,"277","1","98","3","1","2/25/2020","4708","STR","1662",1047,15.62,3.48,0.66,1018,1117,277,98,1662
841,"12-Mar","DLHI ","DDG",4,"1026","1113",23.1214084507042,0.93,"273","1","61","1","2","2/29/2020","4705","HFR","1329",837,14.62,3.43,0.804,1026,1113,273,61,1329
842,"25-Feb","DLHI ","CON",3,"1020","1104",23.1214084507042,0.89,"278","1","62","1","1","2/26/2020","261","HFR","1273",802,15.89,1.94,0.445,1020,1104,278,62,1273
843,"4-Mar","DLLO","DDG",4,"1093","1135",23.1214084507042,0.44,"276","1","73","1","1","2/22/2020","4705","STR","1363",859,13.08,3.56,0.642,1093,1135,276,73,1363
848,"9-Mar","DLLO","DDG",1,"1060","1123",23.1214084507042,0.67,"280","1","67","1","1","2/27/2020","4708","HFR","971",612,12.19,2.14,0.334,1060,1123,280,67,971
854,"23-Feb","DLLO","CON",4,"1072","1106",23.1214084507042,0.37,"271","1","56","1","2","2/18/2020","4708","HFR","1208",761,11.94,4.07,0.8,1072,1106,271,56,1208
855,"10-Apr","DLLO","MET",1,"1082","1186",23.1214084507042,1.11,"283","1","62","1","1","3/1/2020","261","HFR","1365",860,13.42,3.55,0.681,1082,1186,283,62,1365
861,"24-Feb","DLHI ","CON",4,"1145","1073",23.1214084507042,-0.77,"292","0","61","1","1","3/9/2020","261","HFR","1246",785,14.38,2.95,0.652,1145,1073,292,61,1246
863,"2-Mar","DLHI ","CON",1,"1061","1181",23.1214084507042,1.27,"276","1","84","1","1","2/24/2020","4708","HFR","1533",966,16.54,3.28,0.798,1061,1181,276,84,1533
869,"23-Feb","DLHI ","MET",1,"1093","1190",23.1214084507042,1.03,"276","1","67","1","1","2/22/2020","4705","HFR","1365",860,13.91,3.62,0.755,1093,1190,276,67,1365
877,"19-Mar","RANGE","DDG",2,"1006","1033",23.1214084507042,0.29,"276","1","66","1","1","2/22/2020","261","HFR","1189",749,14.71,2.3,0.502,1006,1033,276,66,1189
878,"9-Apr","DLLO","DDG",3,"1100","1129",23.1214084507042,0.31,"275","1","69","1","1","2/22/2020","4705","HFR","1373",865,12.48,4.64,0.966,1100,1129,275,69,1373
884,"17-Feb","DLHI ","CON",2,"1095","1142",23.1214084507042,0.5,"275","1","70","1","1","2/22/2020","261","STR","1690",1065,15.05,4.65,1.01,1095,1142,275,70,1690
885,"10-Mar","RANGE","CON",2,"1095","1160",23.1214084507042,0.7,"277","1","75","1","1","2/24/2020","4708","STR","1452",915,13.38,3.94,0.736,1095,1160,277,75,1452
898,"11-Apr","DLLO","CON",1,"923","1176",23.1214084507042,2.69,"274","1","66","1","1","2/21/2020","4708","HFR","1086",684,11.77,3.83,0.795,923,1176,274,66,1086
